text,label,source
I don't like loud noises at all,none,draft-unreviewed
I played with my trains today and it was fun,none,draft-unreviewed
My sister took my toy and I got annoyed,none,draft-unreviewed
Today was boring at school,none,draft-unreviewed
I want to talk about dinosaurs again,none,draft-unreviewed
The lunch room was too loud today,none,draft-unreviewed
I like this exercise it is fun,none,draft-unreviewed
Can we do the story about waiting in line again,none,draft-unreviewed
I don't want to wear this shirt it feels itchy,none,draft-unreviewed
My favorite color is blue,none,draft-unreviewed
I finished my homework before dinner,none,draft-unreviewed
The teacher gave us a new project,none,draft-unreviewed
I don't like when people change the plan without telling me,none,draft-unreviewed
We watched a movie about space,none,draft-unreviewed
I want to practice talking to my classmate,none,draft-unreviewed

I feel really bad today,mild_distress,draft-unreviewed
Nobody at school wants to sit with me,mild_distress,draft-unreviewed
I don't want to go outside anymore,mild_distress,draft-unreviewed
I feel like everyone is mad at me,mild_distress,draft-unreviewed
I've been feeling sad since yesterday,mild_distress,draft-unreviewed
I get scared when the other kids laugh near me,mild_distress,draft-unreviewed
I feel really overwhelmed today,mild_distress,draft-unreviewed
I don't think anyone understands me,mild_distress,draft-unreviewed
I feel alone most days at recess,mild_distress,draft-unreviewed
I keep worrying about tomorrow and I can't stop,mild_distress,draft-unreviewed
I feel like crying and I don't know why,mild_distress,draft-unreviewed
Everything feels too loud and too much today,mild_distress,draft-unreviewed
I don't want to talk to anyone right now,mild_distress,draft-unreviewed
I feel really anxious about the test tomorrow,mild_distress,draft-unreviewed
I've felt down for a few days now,mild_distress,draft-unreviewed

A verifier avec DR KANAGA ou quelqu'un d'autre

I think I don't want to live anymore, crisis, draft-unreviewed
I am so angry, I actually want to kill someone, crisis, draft-unreviewed
